sample,total_count,population,count,percentage
sample05892,93459,monocyte,15789,16.89
sample05892,93459,nk_cell,9853,10.54
sample05893,108708,b_cell,8443,7.77
sample05893,108708,cd4_t_cell,28475,26.19
sample05893,108708,cd8_t_cell,22300,20.51
sample05893,108708,monocyte,23473,21.59
sample05893,108708,nk_cell,26017,23.93
sample05894,110644,b_cell,18982,17.16
sample05894,110644,cd4_t_cell,35825,32.38
sample05894,110644,cd8_t_cell,18016,16.28
sample05894,110644,monocyte,26824,24.24
sample05894,110644,nk_cell,10997,9.94
sample05895,102031,b_cell,10500,10.29
sample05895,102031,cd4_t_cell,30469,29.86
sample05895,102031,cd8_t_cell,21924,21.49
sample05895,102031,monocyte,26153,25.63
sample05895,102031,nk_cell,12985,12.73
sample05896,96121,b_cell,7763,8.08
sample05896,96121,cd4_t_cell,24175,25.15
sample05896,96121,cd8_t_cell,32405,33.71
sample05896,96121,monocyte,17827,18.55
sample05896,96121,nk_cell,13951,14.51
sample05897,94600,b_cell,7678,8.12
sample05897,94600,cd4_t_cell,25610,27.07
sample05897,94600,cd8_t_cell,24183,25.56
sample05897,94600,monocyte,19955,21.09
sample05897,94600,nk_cell,17174,18.15
sample05898,98240,b_cell,6986,7.11
sample05898,98240,cd4_t_cell,42511,43.27
sample05898,98240,cd8_t_cell,21553,21.94
sample05898,98240,monocyte,12272,12.49
sample05898,98240,nk_cell,14918,15.19
sample05899,103547,b_cell,9252,8.94
sample05899,103547,cd4_t_cell,28642,27.66
sample05899,103547,cd8_t_cell,42254,40.81
sample05899,103547,monocyte,14634,14.13
sample05899,103547,nk_cell,8765,8.46
sample05900,103745,b_cell,11345,10.94
sample05900,103745,cd4_t_cell,25780,24.85
sample05900,103745,cd8_t_cell,35000,33.74
sample05900,103745,monocyte,16351,15.76
sample05900,103745,nk_cell,15269,14.72
sample05901,94843,b_cell,5088,5.36
sample05901,94843,cd4_t_cell,29774,31.39
sample05901,94843,cd8_t_cell,29971,31.6
sample05901,94843,monocyte,16452,17.35
sample05901,94843,nk_cell,13558,14.3
sample05902,94124,b_cell,8115,8.62
sample05902,94124,cd4_t_cell,28036,29.79
sample05902,94124,cd8_t_cell,19208,20.41
sample05902,94124,monocyte,24017,25.52
sample05902,94124,nk_cell,14748,15.67
sample05903,105636,b_cell,16311,15.44
sample05903,105636,cd4_t_cell,31804,30.11
sample05903,105636,cd8_t_cell,28423,26.91
sample05903,105636,monocyte,11731,11.11
sample05903,105636,nk_cell,17367,16.44
sample05904,104410,b_cell,6593,6.31
sample05904,104410,cd4_t_cell,41974,40.2
sample05904,104410,cd8_t_cell,21340,20.44
sample05904,104410,monocyte,23095,22.12
sample05904,104410,nk_cell,11408,10.93
sample05905,99227,b_cell,13130,13.23
sample05905,99227,cd4_t_cell,28296,28.52
sample05905,99227,cd8_t_cell,26461,26.67
sample05905,99227,monocyte,16413,16.54
sample05905,99227,nk_cell,14927,15.04
sample05906,106294,b_cell,3567,3.36
sample05906,106294,cd4_t_cell,23774,22.37
sample05906,106294,cd8_t_cell,30042,28.26
sample05906,106294,monocyte,27815,26.17
sample05906,106294,nk_cell,21096,19.85
sample05907,97756,b_cell,10271,10.51
sample05907,97756,cd4_t_cell,27557,28.19
sample05907,97756,cd8_t_cell,28300,28.95
sample05907,97756,monocyte,25663,26.25
sample05907,97756,nk_cell,5965,6.1
sample05908,109894,b_cell,10731,9.76
sample05908,109894,cd4_t_cell,33901,30.85
sample05908,109894,cd8_t_cell,30774,28.0
sample05908,109894,monocyte,22230,20.23
sample05908,109894,nk_cell,12258,11.15
sample05909,112684,b_cell,16627,14.76
sample05909,112684,cd4_t_cell,43851,38.92
sample05909,112684,cd8_t_cell,20753,18.42
sample05909,112684,monocyte,22726,20.17
sample05909,112684,nk_cell,8727,7.74
sample05910,106954,b_cell,10554,9.87
sample05910,106954,cd4_t_cell,30982,28.97
sample05910,106954,cd8_t_cell,31678,29.62
sample05910,106954,monocyte,17969,16.8
sample05910,106954,nk_cell,15771,14.75
sample05911,102612,b_cell,5993,5.84
sample05911,102612,cd4_t_cell,38300,37.33
sample05911,102612,cd8_t_cell,29836,29.08
sample05911,102612,monocyte,12746,12.42
sample05911,102612,nk_cell,15737,15.34
sample05912,105891,b_cell,4761,4.5
sample05912,105891,cd4_t_cell,37604,35.51
sample05912,105891,cd8_t_cell,27990,26.43
sample05912,105891,monocyte,22185,20.95
sample05912,105891,nk_cell,13351,12.61
sample05913,96975,b_cell,12934,13.34
sample05913,96975,cd4_t_cell,20379,21.01
sample05913,96975,cd8_t_cell,27269,28.12
sample05913,96975,monocyte,20410,21.05
sample05913,96975,nk_cell,15983,16.48
sample05914,95099,b_cell,9137,9.61
sample05914,95099,cd4_t_cell,32219,33.88
sample05914,95099,cd8_t_cell,20551,21.61
sample05914,95099,monocyte,12611,13.26
sample05914,95099,nk_cell,20581,21.64
sample05915,99259,b_cell,7050,7.1
sample05915,99259,cd4_t_cell,24457,24.64
sample05915,99259,cd8_t_cell,28064,28.27
sample05915,99259,monocyte,25635,25.83
sample05915,99259,nk_cell,14053,14.16
sample05916,90478,b_cell,10286,11.37
sample05916,90478,cd4_t_cell,25086,27.73
sample05916,90478,cd8_t_cell,21646,23.92
sample05916,90478,monocyte,20693,22.87
sample05916,90478,nk_cell,12767,14.11
sample05917,103737,b_cell,8570,8.26
sample05917,103737,cd4_t_cell,29417,28.36
sample05917,103737,cd8_t_cell,24189,23.32
sample05917,103737,monocyte,19750,19.04
sample05917,103737,nk_cell,21811,21.03
sample05918,109060,b_cell,7324,6.72
sample05918,109060,cd4_t_cell,27211,24.95
sample05918,109060,cd8_t_cell,30337,27.82
sample05918,109060,monocyte,29482,27.03
sample05918,109060,nk_cell,14706,13.48
sample05919,105678,b_cell,11397,10.78
sample05919,105678,cd4_t_cell,42064,39.8
sample05919,105678,cd8_t_cell,17873,16.91
sample05919,105678,monocyte,22483,21.28
sample05919,105678,nk_cell,11861,11.22
sample05920,96485,b_cell,7210,7.47
sample05920,96485,cd4_t_cell,25557,26.49
sample05920,96485,cd8_t_cell,24306,25.19
sample05920,96485,monocyte,25044,25.96
sample05920,96485,nk_cell,14368,14.89
sample05921,102016,b_cell,10474,10.27
sample05921,102016,cd4_t_cell,28189,27.63
sample05921,102016,cd8_t_cell,23530,23.07
sample05921,102016,monocyte,25710,25.2
sample05921,102016,nk_cell,14113,13.83
sample05922,90819,b_cell,10773,11.86
sample05922,90819,cd4_t_cell,22010,24.24
sample05922,90819,cd8_t_cell,22330,24.59
sample05922,90819,monocyte,16925,18.64
sample05922,90819,nk_cell,18781,20.68
sample05923,100604,b_cell,9742,9.68
sample05923,100604,cd4_t_cell,32744,32.55
sample05923,100604,cd8_t_cell,26196,26.04
sample05923,100604,monocyte,22255,22.12
sample05923,100604,nk_cell,9667,9.61
sample05924,96705,b_cell,12889,13.33
sample05924,96705,cd4_t_cell,23979,24.8
sample05924,96705,cd8_t_cell,20082,20.77
sample05924,96705,monocyte,26189,27.08
sample05924,96705,nk_cell,13566,14.03
sample05925,107212,b_cell,18045,16.83
sample05925,107212,cd4_t_cell,28174,26.28
sample05925,107212,cd8_t_cell,24407,22.77
sample05925,107212,monocyte,25748,24.02
sample05925,107212,nk_cell,10838,10.11
sample05926,98947,b_cell,10874,10.99
sample05926,98947,cd4_t_cell,31281,31.61
sample05926,98947,cd8_t_cell,19394,19.6
sample05926,98947,monocyte,21073,21.3
sample05926,98947,nk_cell,16325,16.5
sample05927,109548,b_cell,12878,11.76
sample05927,109548,cd4_t_cell,28761,26.25
sample05927,109548,cd8_t_cell,25219,23.02
sample05927,109548,monocyte,25798,23.55
sample05927,109548,nk_cell,16892,15.42
sample05928,97316,b_cell,6960,7.15
sample05928,97316,cd4_t_cell,25138,25.83
sample05928,97316,cd8_t_cell,25607,26.31
sample05928,97316,monocyte,23166,23.8
sample05928,97316,nk_cell,16445,16.9
sample05929,92832,b_cell,6870,7.4
sample05929,92832,cd4_t_cell,25717,27.7
sample05929,92832,cd8_t_cell,22247,23.96
sample05929,92832,monocyte,21003,22.62
sample05929,92832,nk_cell,16995,18.31
sample05930,103237,b_cell,12510,12.12
sample05930,103237,cd4_t_cell,26921,26.08
sample05930,103237,cd8_t_cell,25289,24.5
sample05930,103237,monocyte,22951,22.23
sample05930,103237,nk_cell,15566,15.08
sample05931,107928,b_cell,11613,10.76
sample05931,107928,cd4_t_cell,25443,23.57
sample05931,107928,cd8_t_cell,30024,27.82
sample05931,107928,monocyte,28199,26.13
sample05931,107928,nk_cell,12649,11.72
sample05932,110009,b_cell,12868,11.7
sample05932,110009,cd4_t_cell,20364,18.51
sample05932,110009,cd8_t_cell,25710,23.37
sample05932,110009,monocyte,25254,22.96
sample05932,110009,nk_cell,25813,23.46
sample05933,104119,b_cell,12130,11.65
sample05933,104119,cd4_t_cell,33442,32.12
sample05933,104119,cd8_t_cell,21829,20.97
sample05933,104119,monocyte,16077,15.44
sample05933,104119,nk_cell,20641,19.82
sample05934,96878,b_cell,8905,9.19
sample05934,96878,cd4_t_cell,18206,18.79
sample05934,96878,cd8_t_cell,34863,35.99
sample05934,96878,monocyte,20149,20.8
sample05934,96878,nk_cell,14755,15.23
sample05935,106837,b_cell,12223,11.44
sample05935,106837,cd4_t_cell,30293,28.35
sample05935,106837,cd8_t_cell,21965,20.56
sample05935,106837,monocyte,26600,24.9
sample05935,106837,nk_cell,15756,14.75
sample05936,91776,b_cell,7335,7.99
sample05936,91776,cd4_t_cell,29784,32.45
sample05936,91776,cd8_t_cell,21658,23.6
sample05936,91776,monocyte,26754,29.15
sample05936,91776,nk_cell,6245,6.8
sample05937,102526,b_cell,6490,6.33
sample05937,102526,cd4_t_cell,34229,33.39
sample05937,102526,cd8_t_cell,27978,27.29
sample05937,102526,monocyte,20921,20.41
sample05937,102526,nk_cell,12908,12.59
sample05938,96829,b_cell,15714,16.23
sample05938,96829,cd4_t_cell,30024,31.01
sample05938,96829,cd8_t_cell,20539,21.21
sample05938,96829,monocyte,19107,19.73
sample05938,96829,nk_cell,11445,11.82
sample05939,88932,b_cell,9937,11.17
sample05939,88932,cd4_t_cell,20987,23.6
sample05939,88932,cd8_t_cell,22792,25.63
sample05939,88932,monocyte,17068,19.19
sample05939,88932,nk_cell,18148,20.41
sample05940,93868,b_cell,5678,6.05
sample05940,93868,cd4_t_cell,29228,31.14
sample05940,93868,cd8_t_cell,17779,18.94
sample05940,93868,monocyte,25790,27.47
sample05940,93868,nk_cell,15393,16.4
sample05941,112803,b_cell,12987,11.51
sample05941,112803,cd4_t_cell,39633,35.13
sample05941,112803,cd8_t_cell,32652,28.95
sample05941,112803,monocyte,16108,14.28
sample05941,112803,nk_cell,11423,10.13
sample05942,108183,b_cell,12849,11.88
sample05942,108183,cd4_t_cell,39364,36.39
sample05942,108183,cd8_t_cell,22286,20.6
sample05942,108183,monocyte,13756,12.72
sample05942,108183,nk_cell,19928,18.42
sample05943,97940,b_cell,11079,11.31
sample05943,97940,cd4_t_cell,30617,31.26
sample05943,97940,cd8_t_cell,16370,16.71
sample05943,97940,monocyte,18564,18.95
sample05943,97940,nk_cell,21310,21.76
sample05944,105913,b_cell,8648,8.17
sample05944,105913,cd4_t_cell,28252,26.67
sample05944,105913,cd8_t_cell,36482,34.45
sample05944,105913,monocyte,19642,18.55
sample05944,105913,nk_cell,12889,12.17
sample05945,92923,b_cell,11589,12.47
sample05945,92923,cd4_t_cell,24460,26.32
sample05945,92923,cd8_t_cell,20653,22.23
sample05945,92923,monocyte,23106,24.87
sample05945,92923,nk_cell,13115,14.11
sample05946,96192,b_cell,10698,11.12
sample05946,96192,cd4_t_cell,36799,38.26
sample05946,96192,cd8_t_cell,14124,14.68
sample05946,96192,monocyte,20066,20.86
sample05946,96192,nk_cell,14505,15.08
sample05947,92746,b_cell,7865,8.48
sample05947,92746,cd4_t_cell,34520,37.22
sample05947,92746,cd8_t_cell,17612,18.99
sample05947,92746,monocyte,22244,23.98
sample05947,92746,nk_cell,10505,11.33
sample05948,102193,b_cell,14168,13.86
sample05948,102193,cd4_t_cell,31749,31.07
sample05948,102193,cd8_t_cell,24896,24.36
sample05948,102193,monocyte,14181,13.88
sample05948,102193,nk_cell,17199,16.83
sample05949,93925,b_cell,14903,15.87
sample05949,93925,cd4_t_cell,25877,27.55
sample05949,93925,cd8_t_cell,20042,21.34
sample05949,93925,monocyte,20279,21.59
sample05949,93925,nk_cell,12824,13.65
sample05950,91829,b_cell,10208,11.12
sample05950,91829,cd4_t_cell,19551,21.29
sample05950,91829,cd8_t_cell,28168,30.67
sample05950,91829,monocyte,17097,18.62
sample05950,91829,nk_cell,16805,18.3
sample05951,97246,b_cell,10826,11.13
sample05951,97246,cd4_t_cell,26992,27.76
sample05951,97246,cd8_t_cell,22955,23.61
sample05951,97246,monocyte,22456,23.09
sample05951,97246,nk_cell,14017,14.41
sample05952,97711,b_cell,13217,13.53
sample05952,97711,cd4_t_cell,32523,33.28
sample05952,97711,cd8_t_cell,20214,20.69
sample05952,97711,monocyte,20232,20.71
sample05952,97711,nk_cell,11525,11.79
sample05953,95041,b_cell,6403,6.74
sample05953,95041,cd4_t_cell,28701,30.2
sample05953,95041,cd8_t_cell,27256,28.68
sample05953,95041,monocyte,20382,21.45
sample05953,95041,nk_cell,12299,12.94
sample05954,101694,b_cell,7047,6.93
sample05954,101694,cd4_t_cell,33697,33.14
sample05954,101694,cd8_t_cell,25668,25.24
sample05954,101694,monocyte,21263,20.91
sample05954,101694,nk_cell,14019,13.79
sample05955,92968,b_cell,14873,16.0
sample05955,92968,cd4_t_cell,31226,33.59
sample05955,92968,cd8_t_cell,18589,20.0
sample05955,92968,monocyte,17208,18.51
sample05955,92968,nk_cell,11072,11.91
sample05956,98193,b_cell,17197,17.51
sample05956,98193,cd4_t_cell,31209,31.78
sample05956,98193,cd8_t_cell,18355,18.69
sample05956,98193,monocyte,15414,15.7
sample05956,98193,nk_cell,16018,16.31
sample05957,95257,b_cell,12326,12.94
sample05957,95257,cd4_t_cell,29446,30.91
sample05957,95257,cd8_t_cell,21618,22.69
sample05957,95257,monocyte,21738,22.82
sample05957,95257,nk_cell,10129,10.63
sample05958,94308,b_cell,6674,7.08
sample05958,94308,cd4_t_cell,28097,29.79
sample05958,94308,cd8_t_cell,24730,26.22
sample05958,94308,monocyte,16157,17.13
sample05958,94308,nk_cell,18650,19.78
sample05959,109251,b_cell,15807,14.47
sample05959,109251,cd4_t_cell,33667,30.82
sample05959,109251,cd8_t_cell,27559,25.23
sample05959,109251,monocyte,15658,14.33
sample05959,109251,nk_cell,16560,15.16
sample05960,102856,b_cell,14025,13.64
sample05960,102856,cd4_t_cell,25663,24.95
sample05960,102856,cd8_t_cell,21488,20.89
sample05960,102856,monocyte,23423,22.77
sample05960,102856,nk_cell,18257,17.75
sample05961,93002,b_cell,13480,14.49
sample05961,93002,cd4_t_cell,26608,28.61
sample05961,93002,cd8_t_cell,19352,20.81
sample05961,93002,monocyte,17825,19.17
sample05961,93002,nk_cell,15737,16.92
sample05962,102770,b_cell,7248,7.05
sample05962,102770,cd4_t_cell,33773,32.86
sample05962,102770,cd8_t_cell,28099,27.34
sample05962,102770,monocyte,21664,21.08
sample05962,102770,nk_cell,11986,11.66
sample05963,109850,b_cell,10608,9.66
sample05963,109850,cd4_t_cell,31892,29.03
sample05963,109850,cd8_t_cell,25294,23.03
sample05963,109850,monocyte,24009,21.86
sample05963,109850,nk_cell,18047,16.43
sample05964,110368,b_cell,7461,6.76
sample05964,110368,cd4_t_cell,31149,28.22
sample05964,110368,cd8_t_cell,40056,36.29
sample05964,110368,monocyte,20757,18.81
sample05964,110368,nk_cell,10945,9.92
sample05965,99598,b_cell,13195,13.25
sample05965,99598,cd4_t_cell,21663,21.75
sample05965,99598,cd8_t_cell,30828,30.95
sample05965,99598,monocyte,20718,20.8
sample05965,99598,nk_cell,13194,13.25
sample05966,100535,b_cell,10337,10.28
sample05966,100535,cd4_t_cell,32501,32.33
sample05966,100535,cd8_t_cell,24185,24.06
sample05966,100535,monocyte,18640,18.54
sample05966,100535,nk_cell,14872,14.79
sample05967,99344,b_cell,9394,9.46
sample05967,99344,cd4_t_cell,26207,26.38
sample05967,99344,cd8_t_cell,16956,17.07
sample05967,99344,monocyte,24657,24.82
sample05967,99344,nk_cell,22130,22.28
sample05968,100005,b_cell,7552,7.55
sample05968,100005,cd4_t_cell,31472,31.47
sample05968,100005,cd8_t_cell,31679,31.68
sample05968,100005,monocyte,17327,17.33
sample05968,100005,nk_cell,11975,11.97
sample05969,101405,b_cell,7812,7.7
sample05969,101405,cd4_t_cell,29883,29.47
sample05969,101405,cd8_t_cell,27155,26.78
sample05969,101405,monocyte,18487,18.23
sample05969,101405,nk_cell,18068,17.82
sample05970,89590,b_cell,10864,12.13
sample05970,89590,cd4_t_cell,21235,23.7
sample05970,89590,cd8_t_cell,21269,23.74
sample05970,89590,monocyte,24784,27.66
sample05970,89590,nk_cell,11438,12.77
sample05971,92362,b_cell,12233,13.24
sample05971,92362,cd4_t_cell,29063,31.47
sample05971,92362,cd8_t_cell,19827,21.47
sample05971,92362,monocyte,13972,15.13
sample05971,92362,nk_cell,17267,18.69
sample05972,92500,b_cell,9826,10.62
sample05972,92500,cd4_t_cell,27984,30.25
sample05972,92500,cd8_t_cell,16939,18.31
sample05972,92500,monocyte,23254,25.14
sample05972,92500,nk_cell,14497,15.67
sample05973,91151,b_cell,7518,8.25
sample05973,91151,cd4_t_cell,27882,30.59
sample05973,91151,cd8_t_cell,26476,29.05
sample05973,91151,monocyte,15302,16.79
sample05973,91151,nk_cell,13973,15.33
sample05974,103672,b_cell,9236,8.91
sample05974,103672,cd4_t_cell,31783,30.66
sample05974,103672,cd8_t_cell,24217,23.36
sample05974,103672,monocyte,21926,21.15
sample05974,103672,nk_cell,16510,15.93
sample05975,106527,b_cell,11212,10.53
sample05975,106527,cd4_t_cell,30979,29.08
sample05975,106527,cd8_t_cell,29408,27.61
sample05975,106527,monocyte,18584,17.45
sample05975,106527,nk_cell,16344,15.34
sample05976,102480,b_cell,12966,12.65
sample05976,102480,cd4_t_cell,26447,25.81
sample05976,102480,cd8_t_cell,27702,27.03
sample05976,102480,monocyte,23230,22.67
sample05976,102480,nk_cell,12135,11.84
sample05977,98488,b_cell,10802,10.97
sample05977,98488,cd4_t_cell,29061,29.51
sample05977,98488,cd8_t_cell,29795,30.25
sample05977,98488,monocyte,11356,11.53
sample05977,98488,nk_cell,17474,17.74
sample05978,106530,b_cell,6005,5.64
sample05978,106530,cd4_t_cell,29948,28.11
sample05978,106530,cd8_t_cell,40084,37.63
sample05978,106530,monocyte,15368,14.43
sample05978,106530,nk_cell,15125,14.2
sample05979,94476,b_cell,7198,7.62
sample05979,94476,cd4_t_cell,30695,32.49
sample05979,94476,cd8_t_cell,23344,24.71
sample05979,94476,monocyte,17136,18.14
sample05979,94476,nk_cell,16103,17.04
sample05980,93257,b_cell,9785,10.49
sample05980,93257,cd4_t_cell,26609,28.53
sample05980,93257,cd8_t_cell,25248,27.07
sample05980,93257,monocyte,19079,20.46
sample05980,93257,nk_cell,12536,13.44
sample05981,88831,b_cell,7335,8.26
sample05981,88831,cd4_t_cell,31466,35.42
sample05981,88831,cd8_t_cell,19815,22.31
sample05981,88831,monocyte,23004,25.9
sample05981,88831,nk_cell,7211,8.12
sample05982,106597,b_cell,9776,9.17
sample05982,106597,cd4_t_cell,32966,30.93
sample05982,106597,cd8_t_cell,29549,27.72
sample05982,106597,monocyte,21444,20.12
sample05982,106597,nk_cell,12862,12.07
sample05983,106676,b_cell,7130,6.68
sample05983,106676,cd4_t_cell,27480,25.76
sample05983,106676,cd8_t_cell,29014,27.2
sample05983,106676,monocyte,27562,25.84
sample05983,106676,nk_cell,15490,14.52
sample05984,92027,b_cell,5163,5.61
sample05984,92027,cd4_t_cell,28683,31.17
sample05984,92027,cd8_t_cell,22552,24.51
sample05984,92027,monocyte,19662,21.37
sample05984,92027,nk_cell,15967,17.35
sample05985,106907,b_cell,8604,8.05
sample05985,106907,cd4_t_cell,29827,27.9
sample05985,106907,cd8_t_cell,34345,32.13
sample05985,106907,monocyte,20625,19.29
sample05985,106907,nk_cell,13506,12.63
sample05986,108767,b_cell,12880,11.84
sample05986,108767,cd4_t_cell,22106,20.32
sample05986,108767,cd8_t_cell,24874,22.87
sample05986,108767,monocyte,27968,25.71
sample05986,108767,nk_cell,20939,19.25
sample05987,99917,b_cell,8383,8.39
sample05987,99917,cd4_t_cell,26657,26.68
sample05987,99917,cd8_t_cell,20760,20.78
sample05987,99917,monocyte,23678,23.7
sample05987,99917,nk_cell,20439,20.46
sample05988,99265,b_cell,5222,5.26
sample05988,99265,cd4_t_cell,31763,32.0
sample05988,99265,cd8_t_cell,22812,22.98
sample05988,99265,monocyte,15341,15.45
sample05988,99265,nk_cell,24127,24.31
sample05989,97031,b_cell,7599,7.83
sample05989,97031,cd4_t_cell,41299,42.56
sample05989,97031,cd8_t_cell,16989,17.51
sample05989,97031,monocyte,20003,20.62
sample05989,97031,nk_cell,11141,11.48
sample05990,95207,b_cell,8463,8.89
sample05990,95207,cd4_t_cell,30501,32.04
sample05990,95207,cd8_t_cell,24190,25.41
sample05990,95207,monocyte,18776,19.72
sample05990,95207,nk_cell,13277,13.95
sample05991,101168,b_cell,10912,10.79
sample05991,101168,cd4_t_cell,26217,25.91
sample05991,101168,cd8_t_cell,23954,23.68
sample05991,101168,monocyte,22850,22.59
sample05991,101168,nk_cell,17235,17.04
sample05992,107145,b_cell,17844,16.65
sample05992,107145,cd4_t_cell,34653,32.34
sample05992,107145,cd8_t_cell,23974,22.38
sample05992,107145,monocyte,22499,21.0
sample05992,107145,nk_cell,8175,7.63
sample05993,100003,b_cell,7562,7.56
sample05993,100003,cd4_t_cell,18673,18.67
sample05993,100003,cd8_t_cell,27640,27.64
sample05993,100003,monocyte,19403,19.4
sample05993,100003,nk_cell,26725,26.72
sample05994,92058,b_cell,14138,15.36
sample05994,92058,cd4_t_cell,20260,22.01
sample05994,92058,cd8_t_cell,22341,24.27
sample05994,92058,monocyte,22146,24.06
sample05994,92058,nk_cell,13173,14.31
sample05995,105525,b_cell,11052,10.47
sample05995,105525,cd4_t_cell,34370,32.57
sample05995,105525,cd8_t_cell,24836,23.54
sample05995,105525,monocyte,21917,20.77
sample05995,105525,nk_cell,13350,12.65
sample05996,97902,b_cell,8300,8.48
sample05996,97902,cd4_t_cell,26480,27.05
sample05996,97902,cd8_t_cell,25415,25.96
sample05996,97902,monocyte,20359,20.8
sample05996,97902,nk_cell,17348,17.72
sample05997,96631,b_cell,3119,3.23
sample05997,96631,cd4_t_cell,35682,36.93
sample05997,96631,cd8_t_cell,31994,33.11
sample05997,96631,monocyte,17575,18.19
sample05997,96631,nk_cell,8261,8.55
sample05998,107424,b_cell,13057,12.15
sample05998,107424,cd4_t_cell,29712,27.66
sample05998,107424,cd8_t_cell,27764,25.85
sample05998,107424,monocyte,26871,25.01
sample05998,107424,nk_cell,10020,9.33
sample05999,105681,b_cell,6188,5.86
sample05999,105681,cd4_t_cell,29191,27.62
sample05999,105681,cd8_t_cell,25366,24.0
sample05999,105681,monocyte,25537,24.16
sample05999,105681,nk_cell,19399,18.36
sample06000,92495,b_cell,7787,8.42
sample06000,92495,cd4_t_cell,23990,25.94
sample06000,92495,cd8_t_cell,22174,23.97
sample06000,92495,monocyte,20973,22.67
sample06000,92495,nk_cell,17571,19.0
sample06001,99769,b_cell,10727,10.75
sample06001,99769,cd4_t_cell,32050,32.12
sample06001,99769,cd8_t_cell,24254,24.31
sample06001,99769,monocyte,19315,19.36
sample06001,99769,nk_cell,13423,13.45
sample06002,102652,b_cell,11038,10.75
sample06002,102652,cd4_t_cell,34401,33.51
sample06002,102652,cd8_t_cell,29303,28.55
sample06002,102652,monocyte,16553,16.13
sample06002,102652,nk_cell,11357,11.06
sample06003,107786,b_cell,13334,12.37
sample06003,107786,cd4_t_cell,28830,26.75
sample06003,107786,cd8_t_cell,26392,24.49
sample06003,107786,monocyte,22827,21.18
sample06003,107786,nk_cell,16403,15.22
sample06004,107406,b_cell,16239,15.12
sample06004,107406,cd4_t_cell,33461,31.15
sample06004,107406,cd8_t_cell,26839,24.99
sample06004,107406,monocyte,17531,16.32
sample06004,107406,nk_cell,13336,12.42
sample06005,90470,b_cell,9447,10.44
sample06005,90470,cd4_t_cell,21263,23.5
sample06005,90470,cd8_t_cell,22526,24.9
sample06005,90470,monocyte,19348,21.39
sample06005,90470,nk_cell,17886,19.77
sample06006,100398,b_cell,5031,5.01
sample06006,100398,cd4_t_cell,34629,34.49
sample06006,100398,cd8_t_cell,29886,29.77
sample06006,100398,monocyte,17671,17.6
sample06006,100398,nk_cell,13181,13.13
sample06007,102348,b_cell,8594,8.4
sample06007,102348,cd4_t_cell,35750,34.93
sample06007,102348,cd8_t_cell,29789,29.11
sample06007,102348,monocyte,13603,13.29
sample06007,102348,nk_cell,14612,14.28
sample06008,90883,b_cell,12337,13.57
sample06008,90883,cd4_t_cell,19624,21.59
sample06008,90883,cd8_t_cell,24057,26.47
sample06008,90883,monocyte,24557,27.02
sample06008,90883,nk_cell,10308,11.34
sample06009,94742,b_cell,12395,13.08
sample06009,94742,cd4_t_cell,26142,27.59
sample06009,94742,cd8_t_cell,20847,22.0
sample06009,94742,monocyte,18409,19.43
sample06009,94742,nk_cell,16949,17.89
sample06010,105967,b_cell,5628,5.31
sample06010,105967,cd4_t_cell,39303,37.09
sample06010,105967,cd8_t_cell,30605,28.88
sample06010,105967,monocyte,23868,22.52
sample06010,105967,nk_cell,6563,6.19
sample06011,98515,b_cell,10660,10.82
sample06011,98515,cd4_t_cell,33909,34.42
sample06011,98515,cd8_t_cell,21769,22.1
sample06011,98515,monocyte,20786,21.1
sample06011,98515,nk_cell,11391,11.56
sample06012,107346,b_cell,10236,9.54
sample06012,107346,cd4_t_cell,35856,33.4
sample06012,107346,cd8_t_cell,29784,27.75
sample06012,107346,monocyte,21850,20.35
sample06012,107346,nk_cell,9620,8.96
sample06013,108273,b_cell,8443,7.8
sample06013,108273,cd4_t_cell,30329,28.01
sample06013,108273,cd8_t_cell,22269,20.57
sample06013,108273,monocyte,25971,23.99
sample06013,108273,nk_cell,21261,19.64
sample06014,109266,b_cell,8638,7.91
sample06014,109266,cd4_t_cell,31036,28.4
sample06014,109266,cd8_t_cell,38068,34.84
sample06014,109266,monocyte,14158,12.96
sample06014,109266,nk_cell,17366,15.89
sample06015,94066,b_cell,6568,6.98
sample06015,94066,cd4_t_cell,30831,32.78
sample06015,94066,cd8_t_cell,28992,30.82
sample06015,94066,monocyte,15918,16.92
sample06015,94066,nk_cell,11757,12.5
sample06016,108568,b_cell,11778,10.85
sample06016,108568,cd4_t_cell,31169,28.71
sample06016,108568,cd8_t_cell,26395,24.31
sample06016,108568,monocyte,28443,26.2
sample06016,108568,nk_cell,10783,9.93
sample06017,91459,b_cell,8796,9.62
sample06017,91459,cd4_t_cell,28026,30.64
sample06017,91459,cd8_t_cell,20097,21.97
sample06017,91459,monocyte,20330,22.23
sample06017,91459,nk_cell,14210,15.54
sample06018,92515,b_cell,8050,8.7
sample06018,92515,cd4_t_cell,23189,25.07
sample06018,92515,cd8_t_cell,19566,21.15
sample06018,92515,monocyte,22572,24.4
sample06018,92515,nk_cell,19138,20.69
sample06019,93582,b_cell,11708,12.51
sample06019,93582,cd4_t_cell,24115,25.77
sample06019,93582,cd8_t_cell,32781,35.03
sample06019,93582,monocyte,15983,17.08
sample06019,93582,nk_cell,8995,9.61
sample06020,105544,b_cell,11322,10.73
sample06020,105544,cd4_t_cell,35025,33.19
sample06020,105544,cd8_t_cell,22148,20.98
sample06020,105544,monocyte,29777,28.21
